1;Ich habe keine Schwierigkeiten beim Hören, an denen etwas geändert werden müsste.;Precontemplation;Trifft überhaupt nicht zu;Trifft eher nicht zu ;Weiss nicht ;Trifft eher zu;Trifft voll und ganz zu
2;Ich setze mich mit den Schwierigkeiten beim Hören auseinander, die mich belasten.;Action;Trifft überhaupt nicht zu;Trifft eher nicht zu ;Weiss nicht ;Trifft eher zu;Trifft voll und ganz zu
3;Es könnte sich lohnen, meine Schwierigkeiten beim Hören anzugehen.;Contemplation;Trifft überhaupt nicht zu;Trifft eher nicht zu ;Weiss nicht ;Trifft eher zu;Trifft voll und ganz zu
4;Ich habe schon daran gedacht, dass ich etwas bei mir verändern möchte.;Contemplation;Trifft überhaupt nicht zu;Trifft eher nicht zu ;Weiss nicht ;Trifft eher zu;Trifft voll und ganz zu
5;Manchmal fühle ich mich mit meinen Hörschwierigkeiten überfordert, aber ich arbeite daran.;Action;Trifft überhaupt nicht zu;Trifft eher nicht zu ;Weiss nicht ;Trifft eher zu;Trifft voll und ganz zu
6;Ich denke schon, dass ich Schwierigkeiten beim Hören habe, aber es gibt nichts, was ich wirklich verändern müsste.;Precontemplation;Trifft überhaupt nicht zu;Trifft eher nicht zu ;Weiss nicht ;Trifft eher zu;Trifft voll und ganz zu
7;Ich habe Hörschwierigkeiten, und ich bin überzeugt, dass ich daran arbeiten sollte.;Contemplation;Trifft überhaupt nicht zu;Trifft eher nicht zu ;Weiss nicht ;Trifft eher zu;Trifft voll und ganz zu
8;Obwohl es mir nicht immer gelingt, etwas zu verändern, arbeite ich wenigstens an meinem Hörproblem.;Action;Trifft überhaupt nicht zu;Trifft eher nicht zu ;Weiss nicht ;Trifft eher zu;Trifft voll und ganz zu
9;Ich wünschte, ich hätte mehr Ideen, wie ich mein Hörproblem lösen könnte.;Contemplation;Trifft überhaupt nicht zu;Trifft eher nicht zu ;Weiss nicht ;Trifft eher zu;Trifft voll und ganz zu
10;Ich habe angefangen, meine Hörschwierigkeiten anzugehen, aber ich brauche dazu Unterstützung.;Action;Trifft überhaupt nicht zu;Trifft eher nicht zu ;Weiss nicht ;Trifft eher zu;Trifft voll und ganz zu
11;Ich habe schon Schwierigkeiten beim Hören, aber die haben andere auch. Warum Zeit verschwenden, darüber nachzudenken?;Precontemplation;Trifft überhaupt nicht zu;Trifft eher nicht zu ;Weiss nicht ;Trifft eher zu;Trifft voll und ganz zu
12;Ich möchte mich lieber mit meinen Schwierigkeiten beim Hören akzeptieren, als etwas daran zu ändern.;Precontemplation;Trifft überhaupt nicht zu;Trifft eher nicht zu ;Weiss nicht ;Trifft eher zu;Trifft voll und ganz zu
